Identifier,Record_URL,RecordDownload_URL,Thumbnail_URL,Business_Name,Record_Title,Business_Type,Notable_Graphics,Transcribed_Text,Colors,Subjects_LCSH,StreetAddress,City,County ,State,Country,Latitude,Longitude,Collection_Title,Rights
1402516,https://collections.lib.utah.edu/ark:/87278/s65j1v43,https://collections.lib.utah.edu/file?id=1402516,https://collections.lib.utah.edu/dl_thumbs/d8/f9/d8f9fc05f8d12e9bd54672fe99222434bdb50599.jpg,The Godfather Restaurant,"The Godfather Restaurant matchbook, Salt Lake CIty, Utah [2]",Restaurants,Man in hat,,White with black text,Advertising; Graphic arts; Restaurants,350 S 3rd E,Salt Lake CIty,Salt Lake County,Utah,United States,40.7615586,-111.8827402,Harold Stanley Sanders Matchbooks Collection,http://rightsstatements.org/vocab/NKC/1.0/
1402517,https://collections.lib.utah.edu/ark:/87278/s61s13c9,https://collections.lib.utah.edu/file?id=1402517,https://collections.lib.utah.edu/dl_thumbs/77/5e/775edf588bb62375bd7a481eaf6b1329a149f122.jpg,Green Street,"Green Street matchbook, Salt Lake City, Utah",Bars,Tree,,White with green text,Advertising; Graphic arts; Bars,650 E 500 S,Salt Lake City,Salt Lake County,Utah,United States,40.7584805,-111.8723884,Harold Stanley Sanders Matchbooks Collection,http://rightsstatements.org/vocab/NKC/1.0/
1402522,https://collections.lib.utah.edu/ark:/87278/s6x10kwx,https://collections.lib.utah.edu/file?id=1402522,https://collections.lib.utah.edu/dl_thumbs/ee/71/ee710c672829adbd3e40bb26e4957c58e4af6e52.jpg,New Glenwood Cafe,"New Glenwood Cafe matchbook, Salt Lake City, Utah",Restaurants,Pin up girl,Delicious Foods; Quality Service,"White, red, yellow, and blue with black and white text",Advertising; Graphic arts; Restaurants,322 S Main St,Salt Lake City,Salt Lake County,Utah,United States,40.7621557,-111.8916193,Harold Stanley Sanders Matchbooks Collection,http://rightsstatements.org/vocab/NKC/1.0/
1402525,https://collections.lib.utah.edu/ark:/87278/s6sb8jkc,https://collections.lib.utah.edu/file?id=1402525,https://collections.lib.utah.edu/dl_thumbs/46/9b/469b22cbaf0d872bec7c0b92c734d730d3175a07.jpg,Hot Shoppes,"Hot Shoppes matchbook, Salt Lake City, Utah",Restaurants,"Waiter, restaurant building",Famous Drive-In; Food for the Whole Family,"Orange, black, blue, and white with black and white text",Advertising; Graphic arts; Restaurants,534 S Main St,Salt Lake City,Salt Lake County,Utah,United States,40.7577165,-111.8923813,Harold Stanley Sanders Matchbooks Collection,http://rightsstatements.org/vocab/NKC/1.0/
1402528,https://collections.lib.utah.edu/ark:/87278/s6nk7sxj,https://collections.lib.utah.edu/file?id=1402528,https://collections.lib.utah.edu/dl_thumbs/85/97/85971345467adc7ece0737e88782a593eb81085a.jpg,Holiday Motel,"Holiday Motel matchbook, Salt Lake City, Utah [2]",Hotels,"Motel, swimmer & pool",Where every day's a holiday,"White, red, and blue with white, red, and blue text",Advertising; Graphic arts; Hotels,3035 S State St.,Salt Lake City,Salt Lake County,Utah,United States,40.725461,-111.8881426,Harold Stanley Sanders Matchbooks Collection,http://rightsstatements.org/vocab/NKC/1.0/
1402531,https://collections.lib.utah.edu/ark:/87278/s6ht726m,https://collections.lib.utah.edu/file?id=1402531,https://collections.lib.utah.edu/dl_thumbs/81/0c/810c9289007a6b42de2b4849eca4c28bc987b10a.jpg,Holiday Motel,"Holiday Motel matchbook, Salt Lake City, Utah [1]",Hotels,"Motel, swimmer & pool",Where every day's a holiday,"White, orange, and blue with white, orange, and blue text",Advertising; Graphic arts; Hotels,3035 S State St.,Salt Lake City,Salt Lake County,Utah,United States,40.725461,-111.8881426,Harold Stanley Sanders Matchbooks Collection,http://rightsstatements.org/vocab/NKC/1.0/
1402534,https://collections.lib.utah.edu/ark:/87278/s6d269hn,https://collections.lib.utah.edu/file?id=1402534,https://collections.lib.utah.edu/dl_thumbs/87/01/8701a342c6230c0b2f4f8db0fba9965d08689223.jpg,Humpty Dumpty Inn,"Humpty Dumpty Inn matchbook, Salt Lake City, Utah",Restaurants,Diners at table,Good food,White and yellow with black text,Advertising; Graphic arts; Restaurants,23rd E 21st S,Salt Lake City,Salt Lake County,Utah,United States,40.7257472,-111.9178858,Harold Stanley Sanders Matchbooks Collection,http://rightsstatements.org/vocab/NKC/1.0/
1402537,https://collections.lib.utah.edu/ark:/87278/s6895jq1,https://collections.lib.utah.edu/file?id=1402537,https://collections.lib.utah.edu/dl_thumbs/82/8b/828b0de127c9d14c28a598cd4feaa6ad60f9494b.jpg,The Tiki Hut and the Hawaiian,"The Tiki Hut and Hawaiian matchbook, Salt Lake City, Utah",Restaurants,Cartoon couple,Always a friendly welcome,White with red text,Advertising; Graphic arts; Restaurants,325 C St,Salt Lake City,Salt Lake County,Utah,United States,40.7769024,-111.8806705,Harold Stanley Sanders Matchbooks Collection,http://rightsstatements.org/vocab/NKC/1.0/
1402540,https://collections.lib.utah.edu/ark:/87278/s64j4szv,https://collections.lib.utah.edu/file?id=1402540,https://collections.lib.utah.edu/dl_thumbs/60/de/60de03e161f3a59f3603d198581edc5b62ba5ba1.jpg,Howe Rents,"Howe Rents matchbook, Salt Lake City, Utah",Equipment Rentals,Indian on a sign,"Rentals for Contractors, Home Parties, Sick Room",White with red text,Advertising; Graphic arts; Construction equipment,55 E 2400 S,Salt Lake City,Salt Lake County,Utah,United States,40.71924,-111.8900685,Harold Stanley Sanders Matchbooks Collection,http://rightsstatements.org/vocab/NKC/1.0/
1402541,https://collections.lib.utah.edu/ark:/87278/s60s428c,https://collections.lib.utah.edu/file?id=1402541,https://collections.lib.utah.edu/dl_thumbs/eb/e6/ebe6125b7c1378b47751e262cd4825113a5edd3a.jpg,Hafer's Inc. Truck Parts,"Hafer's Inc. Truck Parts matchbook, Salt Lake City, Utah",Manufacturing industries,Bower car part,Roller bearings information,Blue and yellow with black and yellow text,Advertising; Graphic arts; Manufacturing industries,1563 S 2nd W,Salt Lake City,Salt Lake County,Utah,United States,40.7607793,-111.8910474,Harold Stanley Sanders Matchbooks Collection,http://rightsstatements.org/vocab/NKC/1.0/
1402544,https://collections.lib.utah.edu/ark:/87278/s6w42858,https://collections.lib.utah.edu/file?id=1402544,https://collections.lib.utah.edu/dl_thumbs/b1/84/b1844a5702a276d790ca7ec3a62f3ef191a171b4.jpg,Hansa House,"Hansa House matchbook, Salt Lake City, Utah",Restaurants,Woman in dress,Delightful family dining in an authentic Scandinavian atmosphere,Orange and white with black and orange text,Advertising; Graphic arts; Restaurants,19 E 2nd S,Salt Lake City,Salt Lake County,Utah,United States,40.7715875,-111.8881203,Harold Stanley Sanders Matchbooks Collection,http://rightsstatements.org/vocab/NKC/1.0/
1402545,https://collections.lib.utah.edu/ark:/87278/s6rc1hg0,https://collections.lib.utah.edu/file?id=1402545,https://collections.lib.utah.edu/dl_thumbs/13/c7/13c73a85689b4c94bf0b008264ab5eab23647e64.jpg,Heathcliff Modern Motel and Trailer Court,"Heathcliff Modern Motel and Trailer Court matchbook, Salt Lake City, Utah",Hotels,Car and motel sign,"If we please you, tell others; if we don't - tell us",White and green with white and green text,Advertising; Graphic arts; Hotels,995 S State St,Salt Lake City,Salt Lake County,Utah,United States,40.7474051,-111.8876306,Harold Stanley Sanders Matchbooks Collection,http://rightsstatements.org/vocab/NKC/1.0/
1402546,https://collections.lib.utah.edu/ark:/87278/s6mm0rsq,https://collections.lib.utah.edu/file?id=1402546,https://collections.lib.utah.edu/dl_thumbs/64/12/641263abf264470f7635217f91e2ad4d95effdae.jpg,Independent Coal & Coke Company,"Independent Coal & Coke Company matchbook, Salt Lake CIty, Utah",Mining Corporations,ABC,Washed-Duspruf Stoker Coal,Yellow and black with yellow and black text,Advertising; Graphic arts; Mining Corporations,706 Judge Building,Salt Lake CIty,Salt Lake County,Utah,United States,40.762619,-111.8908424,Harold Stanley Sanders Matchbooks Collection,http://rightsstatements.org/vocab/NKC/1.0/
1402547,https://collections.lib.utah.edu/ark:/87278/s6gv012s,https://collections.lib.utah.edu/file?id=1402547,https://collections.lib.utah.edu/dl_thumbs/ff/4c/ff4ce69f47b687c7a64581f8f954fa9de40089d8.jpg,Idle Hour,"Idle Hour matchbook, Salt Lake City, Utah",Nightclubs,Couples dancing,"Eat, Drink, and make Merry",Blue and gold with gold text,Advertising; Graphic arts; Nightclubs,2505 Beck St,Salt Lake City,Salt Lake County,Utah,United States,40.8298334,-111.9154057,Harold Stanley Sanders Matchbooks Collection,http://rightsstatements.org/vocab/NKC/1.0/
1402548,https://collections.lib.utah.edu/ark:/87278/s6c2988x,https://collections.lib.utah.edu/file?id=1402548,https://collections.lib.utah.edu/dl_thumbs/ae/60/ae6002af38f54e7c1005ee71ef30b427f769b6ac.jpg,Imperial 400 Motor Inn,"Imperial 400 Motor Inn matchbook, Salt Lake City, Utah [4]",Hotels,,Call us for your next reservation,"Tan, yellow, brown with brown text",Advertising; Graphic arts; Hotels,476 S State St,Salt Lake City,Salt Lake County,Utah,United States,40.7540881,-111.8885901,Harold Stanley Sanders Matchbooks Collection,http://rightsstatements.org/vocab/NKC/1.0/
1402549,https://collections.lib.utah.edu/ark:/87278/s6798hg9,https://collections.lib.utah.edu/file?id=1402549,https://collections.lib.utah.edu/dl_thumbs/6a/38/6a38cc6f7fb52aefe1f799f5f10d2a2468f7b873.jpg,Imperial 400 Motel,"Imperial 400 Motel matchbook, Salt Lake City, Utah [1]",Hotels,Imperial 400 sign,Reasonable rates and info about amenities,"White, red, and yellow with black, yellow, and red text",Advertising; Graphic arts; Hotels,476 S State St,Salt Lake City,Salt Lake County,Utah,United States,40.7540881,-111.8885901,Harold Stanley Sanders Matchbooks Collection,http://rightsstatements.org/vocab/NKC/1.0/
1402552,https://collections.lib.utah.edu/ark:/87278/s63j7rtg,https://collections.lib.utah.edu/file?id=1402552,https://collections.lib.utah.edu/dl_thumbs/75/08/7508301f6e7c7ae23238bcf78e30fbdf035ac379.jpg,Imperial 400 Motel,"Imperial 400 Motel matchbook, Salt Lake City, Utah [2]",Hotels,Imperial 400 sign,List of Motel locations,"White, red, and black with black and red text",Advertising; Graphic arts; Hotels,476 S State St,Salt Lake City,Salt Lake County,Utah,United States,40.7540881,-111.8885901,Harold Stanley Sanders Matchbooks Collection,http://rightsstatements.org/vocab/NKC/1.0/
1402555,https://collections.lib.utah.edu/ark:/87278/s6zw5zsz,https://collections.lib.utah.edu/file?id=1402555,https://collections.lib.utah.edu/dl_thumbs/09/51/09518426ae5e6c3e0fa473391abc39592bdef5ba.jpg,Imperial 400 Motel,"Imperial 400 Motel matchbook, Salt Lake City, Utah [3]",Hotels,Imperial 400 sign,List of Motel locations,"White, red, and black with black and red text",Advertising; Graphic arts; Hotels,476 S State St,Salt Lake City,Salt Lake County,Utah,United States,40.7540881,-111.8885901,Harold Stanley Sanders Matchbooks Collection,http://rightsstatements.org/vocab/NKC/1.0/
1402558,https://collections.lib.utah.edu/ark:/87278/s6v4572b,https://collections.lib.utah.edu/file?id=1402558,https://collections.lib.utah.edu/dl_thumbs/cf/b5/cfb525d422b7d0d3592583f6b48e3588e9484922.jpg,Intermountain Refrigeration Co. ,"Intermountain Refrigeration Co. matchbook, Salt Lake City, Utah",Manufacturing industries,Child with chicken,What a mess,"Yellow, green, orange, and brown wtih black text",Advertising; Graphic arts; Manufacturing industries,1156 S Main,Salt Lake City,Salt Lake County,Utah,United States,40.743676,-111.89157,Harold Stanley Sanders Matchbooks Collection,http://rightsstatements.org/vocab/NKC/1.0/
1402559,https://collections.lib.utah.edu/ark:/87278/s6qc4gdh,https://collections.lib.utah.edu/file?id=1402559,https://collections.lib.utah.edu/dl_thumbs/6d/c7/6dc793d4a4f139a16f14a9c7df141b90ff2222ff.jpg,Hotel Utah,"Hotel Utah matchbook, Salt Lake City, Utah [15]",Hotels,Building,,Green and white with green text,Advertising; Graphic arts; Hotels,15 E S Temple,Salt Lake City,Salt Lake County,Utah,United States,40.7697727,-111.890578,Harold Stanley Sanders Matchbooks Collection,http://rightsstatements.org/vocab/NKC/1.0/
1402562,https://collections.lib.utah.edu/ark:/87278/s6km3qps,https://collections.lib.utah.edu/file?id=1402562,https://collections.lib.utah.edu/dl_thumbs/c5/05/c505d28ea359291ceecc35145b38ed789a598d00.jpg,Hare Hollow,"Hare Hollow matchbook, Salt Lake CIty, Utah",Restaurants,Bunny and plants,A restaurant with a special sort of ambience,Tan and brown with brown text,Advertising; Graphic arts; Restaurants,6121 Highland Drive,Salt Lake CIty,Salt Lake County,Utah,United States,40.6400543,-111.8342682,Harold Stanley Sanders Matchbooks Collection,http://rightsstatements.org/vocab/NKC/1.0/
1402567,https://collections.lib.utah.edu/ark:/87278/s6fv2zvq,https://collections.lib.utah.edu/file?id=1402567,https://collections.lib.utah.edu/dl_thumbs/65/bc/65bc3a3ce36dacafbbf1362a7d6e919f00c26a3d.jpg,Harold Hurd,"Harold Hurd matchbook, Salt Lake City, Utah",Aviation,"Pin up girl, comic strip",Pleasing you pleases us,"white, blue, yellow, and brown with black text",Advertising; Graphic arts; Aviation,877 S 2nd W,Salt Lake City,Salt Lake County,Utah,United States,40.7607793,-111.8910474,Harold Stanley Sanders Matchbooks Collection,http://rightsstatements.org/vocab/NKC/1.0/
1402570,https://collections.lib.utah.edu/ark:/87278/s6b32743,https://collections.lib.utah.edu/file?id=1402570,https://collections.lib.utah.edu/dl_thumbs/4a/e9/4ae95fb343d0e476aa325807b51164523b1ac298.jpg,Oregon Mutual Fire Insurance,"Oregon Mutual Fire Insurance matchbook, Salt Lake City, Utah",Insurance companies,Covered wagon,No stronger or better fire insurance anywhere,"White, yellow, and black with black text",Advertising; Graphic arts; Insurance companies,603 E 21st S,Salt Lake City,Salt Lake County,Utah,United States,40.7254801,-111.909023,Harold Stanley Sanders Matchbooks Collection,http://rightsstatements.org/vocab/NKC/1.0/
1402573,https://collections.lib.utah.edu/ark:/87278/s66b1gdc,https://collections.lib.utah.edu/file?id=1402573,https://collections.lib.utah.edu/dl_thumbs/35/da/35dabf339083726822c9f349addf06d17ac39061.jpg,Havana Club,"Havana Club matchbook, Salt Lake City, Utah",Nightclubs,Pin up girls ,Salt Lake's Original Talent Show Club,"White, green, red, and yellow with black text",Advertising; Graphic arts; Nightclubs,79 W 2nd S,Salt Lake City,Salt Lake County,Utah,United States,40.7736407,-111.8931623,Harold Stanley Sanders Matchbooks Collection,http://rightsstatements.org/vocab/NKC/1.0/
1402574,https://collections.lib.utah.edu/ark:/87278/s62n9f3t,https://collections.lib.utah.edu/file?id=1402574,https://collections.lib.utah.edu/dl_thumbs/04/f8/04f84bd47a0b4e0d210c07fa5e4edf569d9ea671.jpg,Hollywood Inn,"Hollywood Inn matchbook, Salt Lake CIty, Utah",Hotels,"Pin up girl, beer barrel, bottles, drinkers","We can't serve all the time, but we serve the best","White, orange, and yellow with black text",Advertising; Graphic arts; Hotels,55-57 E 2nd S,Salt Lake CIty,Salt Lake County,Utah,United States,40.7607793,-111.8910474,Harold Stanley Sanders Matchbooks Collection,http://rightsstatements.org/vocab/NKC/1.0/
1402577,https://collections.lib.utah.edu/ark:/87278/s6xw8xp1,https://collections.lib.utah.edu/file?id=1402577,https://collections.lib.utah.edu/dl_thumbs/4f/58/4f589e4c7249ea361cb024e5d4041f6b45ce8995.jpg,The Hawaiian and the Beach Boy,"The Hawaiian matchbook, Salt Lake City, Utah",Restaurants,Hawaiian statue,"Johnny Quong says , ""....""","Black, red, yellow, and blue with white, yellow, blue text",Advertising; Graphic arts; Restaurants,2928 Highland Dr,Salt Lake City,Salt Lake County,Utah,United States,40.7074461,-111.8537699,Harold Stanley Sanders Matchbooks Collection,http://rightsstatements.org/vocab/NKC/1.0/
1402580,https://collections.lib.utah.edu/ark:/87278/s6t485z0,https://collections.lib.utah.edu/file?id=1402580,https://collections.lib.utah.edu/dl_thumbs/d5/fc/d5fcad03d3c9257fcd79c09ad2e71634301d15ea.jpg,Hibbs Clothing Co,"Hibbs Clothing Co matchbook, Salt Lake City, Utah [1]",Clothing and Shoe Stores,Men walking,Varsity-Town Clothes,Black and red with white and black text,Advertising; Graphic arts; Clothing and dress,220 S Main St,Salt Lake City,Salt Lake County,Utah,United States,40.764364,-111.8915262,Harold Stanley Sanders Matchbooks Collection,http://rightsstatements.org/vocab/NKC/1.0/
1402583,https://collections.lib.utah.edu/ark:/87278/s6pc7f84,https://collections.lib.utah.edu/file?id=1402583,https://collections.lib.utah.edu/dl_thumbs/3a/4e/3a4ea067220e322f4ff28bcad58376ff6f61cfb6.jpg,Hibbs Clothing Co,"Hibbs Clothing Co matchbook, Salt Lake City, Utah [2]",Clothing and Shoe Stores,,Home of Timely Clothing,"Green with green, black, and pink text",Advertising; Graphic arts; Clothing and dress,210 S Main St,Salt Lake City,Salt Lake County,Utah,United States,40.7645574,-111.891522,Harold Stanley Sanders Matchbooks Collection,http://rightsstatements.org/vocab/NKC/1.0/
1402586,https://collections.lib.utah.edu/ark:/87278/s6jm6pgh,https://collections.lib.utah.edu/file?id=1402586,https://collections.lib.utah.edu/dl_thumbs/76/b3/76b37444aa3042c2162b3d2729e0c33ad4e92ef7.jpg,Hut-Sut Beer,"Hut-Sut Beer matchbook, Salt Lake CIty, Utah",Restaurants,"Beer, restaurant",Just a little different,Orange and blue with white and blue text,Advertising; Graphic arts; Restaurants,31 E 4th S ,Salt Lake CIty,Salt Lake County,Utah,United States,40.7739939,-111.8869986,Harold Stanley Sanders Matchbooks Collection,http://rightsstatements.org/vocab/NKC/1.0/
1402587,https://collections.lib.utah.edu/ark:/87278/s6dv5xrs,https://collections.lib.utah.edu/file?id=1402587,https://collections.lib.utah.edu/dl_thumbs/6f/26/6f262867541aff41f1e7eca2a830dd9aa8100a89.jpg,Hut-Sut Tavern,"Hut-Sut Tavern matchbook, Salt Lake City, Utah",Bars,,,Blue with white text,Advertising; Graphic arts; Bars,31 E 4th S ,Salt Lake City,Salt Lake County,Utah,United States,40.7739939,-111.8869986,Harold Stanley Sanders Matchbooks Collection,http://rightsstatements.org/vocab/NKC/1.0/
1402590,https://collections.lib.utah.edu/ark:/87278/s693562m,https://collections.lib.utah.edu/file?id=1402590,https://collections.lib.utah.edu/dl_thumbs/74/42/74428dae979e784d69ef05dd9de22de521716ea7.jpg,The Happy Time Tavern,"The Happy Time Tavern matchbook, Salt Lake City, Utah",Bars,Man with beer,Beer at its best,Blue and white with gold text,Advertising; Graphic arts; Bars,265 W 2nd S,Salt Lake City,Salt Lake County,Utah,United States,40.7733585,-111.8976016,Harold Stanley Sanders Matchbooks Collection,http://rightsstatements.org/vocab/NKC/1.0/
1402593,https://collections.lib.utah.edu/ark:/87278/s65f34p9,https://collections.lib.utah.edu/file?id=1402593,https://collections.lib.utah.edu/dl_thumbs/ce/47/ce477bd5e9a30929a4db5e04fa047957cb0a8683.jpg,Christmas Greeting,Christmas matchbook,Greeting cards,,"Merry Christmas; Best Wishes; Lonnie & Eva; ""The Iceberg""","Red, green, blue, and white with blue and black text",Advertising; Graphic arts; Greeting cards,,,,,,,,Harold Stanley Sanders Matchbooks Collection,http://rightsstatements.org/vocab/NKC/1.0/
1402596,https://collections.lib.utah.edu/ark:/87278/s61p2d0f,https://collections.lib.utah.edu/file?id=1402596,https://collections.lib.utah.edu/dl_thumbs/cc/20/cc20159af76a533a8a1ecc3f8b66a53b2efcad2a.jpg,Jeanie's Smoke Shop,"Jeanne's Tea Room matchbook, Salt Lake CIty, Utah",Tobacco Shops,Pipe and dancer,,Yellow with black text,Advertising; Graphic arts; Tobacco shops,156 S State St,Salt Lake City,Salt Lake County,Utah,United States,40.7657845,-111.888513,Harold Stanley Sanders Matchbooks Collection,http://rightsstatements.org/vocab/NKC/1.0/
1402597,https://collections.lib.utah.edu/ark:/87278/s6wx1wkn,https://collections.lib.utah.edu/file?id=1402597,https://collections.lib.utah.edu/dl_thumbs/55/5f/555f2cc03ef9a85d672fa5d631a37b79a942c296.jpg,Rainbow Randevu,"Rainbow Randevu matchbook, Salt Lake City, Utah",Recreation centers,,"Dining, dancing, and entertainment center",White with black text,Advertising; Graphic arts; Recreation centers,464 S Main St,Salt Lake City,Salt Lake County,Utah,United States,40.7589756,-111.8911953,Harold Stanley Sanders Matchbooks Collection,http://rightsstatements.org/vocab/NKC/1.0/
1402600,https://collections.lib.utah.edu/ark:/87278/s6s514t5,https://collections.lib.utah.edu/file?id=1402600,https://collections.lib.utah.edu/dl_thumbs/e9/a7/e9a78aa7211a18e7fb703b871cc8eedf64fba2c7.jpg,Jack Wright's Conoco Service,"Jacob's Mill matchbook, Salt Lake City, Utah",Fuel,Pin up girl,Wash jobs our specialty,Orange and white with black text,Advertising; Graphic arts; Fuel,S Temple & K St,Salt Lake City,Salt Lake County,Utah,United States,40.7693516,-111.8685859,Harold Stanley Sanders Matchbooks Collection,http://rightsstatements.org/vocab/NKC/1.0/
1402601,https://collections.lib.utah.edu/ark:/87278/s6nd0d1z,https://collections.lib.utah.edu/file?id=1402601,https://collections.lib.utah.edu/dl_thumbs/30/8f/308fe9a1d681ea08d5b50327b80f03a1bb0eb37a.jpg,JB's,"Jeanie's Smoke Shop matchbook, Salt Lake City, Utah",Restaurants,Waiter with food,Home of the Big Boy; America's Favorite Hamburger,Brown with black and white text,Advertising; Graphic arts; Restaurants,33rd S 7th E,Salt Lake City,Salt Lake County,Utah,United States,40.7006733,-111.8733076,Harold Stanley Sanders Matchbooks Collection,http://rightsstatements.org/vocab/NKC/1.0/
1402606,https://collections.lib.utah.edu/ark:/87278/s6hm9n87,https://collections.lib.utah.edu/file?id=1402606,https://collections.lib.utah.edu/dl_thumbs/f9/48/f948778b3327d44d29ff00131071127e1c0499d8.jpg,Columbia Powder Co.,"Columbia Powder Co. matchbook, Salt Lake City, Utah",Manufacturing industries,Columbia Explosives logo,,"Cream and red with red, blue, and white text",Advertising; Graphic arts; Manufacturing industries,15 W 200 S,Salt Lake City,Salt Lake County,Utah,United States,40.7647962,-111.8917097,Harold Stanley Sanders Matchbooks Collection,http://rightsstatements.org/vocab/NKC/1.0/
1402607,https://collections.lib.utah.edu/ark:/87278/s6cv8wmd,https://collections.lib.utah.edu/file?id=1402607,https://collections.lib.utah.edu/dl_thumbs/c5/cf/c5cf35f9f1de594fe46da59331e7ffce7905288e.jpg,Jim's,"Jim's matchbook, Salt Lake City, Utah",Restaurants,"Pie on a plate, drink",Good Food,Black with gold text,Advertising; Graphic arts; Restaurants,115 E 2nd S,Salt Lake City,Salt Lake County,Utah,United States,40.7714918,-111.8881395,Harold Stanley Sanders Matchbooks Collection,http://rightsstatements.org/vocab/NKC/1.0/
1402608,https://collections.lib.utah.edu/ark:/87278/s6866v9q,https://collections.lib.utah.edu/file?id=1402608,https://collections.lib.utah.edu/dl_thumbs/ed/3e/ed3e4fea71d72042f516424e71daf3dbcd1692a0.jpg,Jacob's Mill,"JB's matchbook, Salt Lake City, Utah",,Mill,,Yellow with brown text,Advertising; Graphic arts,1700 S State St,Salt Lake City,Salt Lake County,Utah,United States,40.7335263,-111.8883114,Harold Stanley Sanders Matchbooks Collection,http://rightsstatements.org/vocab/NKC/1.0/
1402611,https://collections.lib.utah.edu/ark:/87278/s64f63kc,https://collections.lib.utah.edu/file?id=1402611,https://collections.lib.utah.edu/dl_thumbs/26/64/26649860bcc885faa108cccca8c34a795b9376f7.jpg,J.R.'s Lunch,"J.R.'s Lunch matchbook, Salt Lake City, Utah",Restaurants,,Food at its best; Reasonable,"Green, yellow, salmon, and pink with black text",Advertising; Graphic arts; Restaurants,325 S Main St,Salt Lake City,Salt Lake County,Utah,United States,40.7620561,-111.8906973,Harold Stanley Sanders Matchbooks Collection,http://rightsstatements.org/vocab/NKC/1.0/
1402612,https://collections.lib.utah.edu/ark:/87278/s60p5bxj,https://collections.lib.utah.edu/file?id=1402612,https://collections.lib.utah.edu/dl_thumbs/41/67/416701bc735caf06cf22c5b57e8b6b45cc25588d.jpg,The Kolob Corporation,"The Kolob Corporation matchbook, Salt Lake CIty, Utah",Bars,Pin up girl,A good place to bring your friends,"Yellow, green, orange, and white with black text",Advertising; Graphic arts; Bars,2505 Beck St,North Salt Lake,Salt Lake County,Utah,United States,40.8298334,-111.9154057,Harold Stanley Sanders Matchbooks Collection,http://rightsstatements.org/vocab/NKC/1.0/
1402615,https://collections.lib.utah.edu/ark:/87278/s6vx4vdt,https://collections.lib.utah.edu/file?id=1402615,https://collections.lib.utah.edu/dl_thumbs/32/0a/320a5efe25fde6a18f18ddd223ba9ecfe32da40d.jpg,Kozy Korner,"Kozy Korner matchbook, Salt Lake City, Utah",Recreation centers,Pin up girl in snow,A stranger is a friend we've never met,"Blue, red, yellow, green with black text",Advertising; Graphic arts; Recreation centers,6th W 2nd S,Salt Lake City,Salt Lake County,Utah,United States,40.7737104,-111.9025129,Harold Stanley Sanders Matchbooks Collection,http://rightsstatements.org/vocab/NKC/1.0/
1402616,https://collections.lib.utah.edu/ark:/87278/s6r543kf,https://collections.lib.utah.edu/file?id=1402616,https://collections.lib.utah.edu/dl_thumbs/b1/77/b177920b9fb7bd872d705cbbdbee4fc969c916ee.jpg,KSOP AM FM,"KSOP AM FM matchbook, Salt Lake City, Utah",Radio,Kid with hat,,Green with black text,Advertising; Graphic arts; Radio,,Salt Lake City,Salt Lake County,Utah,United States,40.7607793,-111.8910474,Harold Stanley Sanders Matchbooks Collection,http://rightsstatements.org/vocab/NKC/1.0/
1402617,https://collections.lib.utah.edu/ark:/87278/s6md3bw5,https://collections.lib.utah.edu/file?id=1402617,https://collections.lib.utah.edu/dl_thumbs/6d/23/6d237dc749d5f494d9a4e6c343cb2e0083524aa8.jpg,Kwong Kgm Low Cafe,"Kwong Kgm Low Cafe matchbook, Salt Lake City, Utah",Restaurants,"Building, sign, shapes",Chinese and American dishes,Red with silver text,Advertising; Graphic arts; Restaurants,54 W 2nd S ,Salt Lake City,Salt Lake County,Utah,United States,40.7739829,-111.893072,Harold Stanley Sanders Matchbooks Collection,http://rightsstatements.org/vocab/NKC/1.0/
1402618,https://collections.lib.utah.edu/ark:/87278/s6gr19mm,https://collections.lib.utah.edu/file?id=1402618,https://collections.lib.utah.edu/dl_thumbs/90/3a/903a45329d11454b0c13b0bb8a968191f1cb9b00.jpg,Pete Kutulas,"Pete Kutulas matchbook, Salt Lake CIty, Utah",Political Advertising,Donkey,Vote for Pete Kutulas,White and blue with red and blue text,"Advertising; Graphic arts; Advertising, political",,Salt Lake CIty,Salt Lake County,Utah,United States,40.7607793,-111.8910474,Harold Stanley Sanders Matchbooks Collection,http://rightsstatements.org/vocab/NKC/1.0/
1402619,https://collections.lib.utah.edu/ark:/87278/s6c00jw6,https://collections.lib.utah.edu/file?id=1402619,https://collections.lib.utah.edu/dl_thumbs/8e/63/8e6394cba8cb5f5434b384c5549692ddc9fae587.jpg,K Motel,"K Motel matchbook, Salt Lake City, Utah",Hotels,Car and motel sign,"For the ""rest"" of your life",white and green with green text,Advertising; Graphic arts; Hotels,2183 S State St,Salt Lake City,Salt Lake County,Utah,United States,40.725461,-111.8881426,Harold Stanley Sanders Matchbooks Collection,http://rightsstatements.org/vocab/NKC/1.0/
1402622,https://collections.lib.utah.edu/ark:/87278/s6769t77,https://collections.lib.utah.edu/file?id=1402622,https://collections.lib.utah.edu/dl_thumbs/dd/13/dd134903f2ad7a6a9efb2efefd4cb5da3e2e77fc.jpg,Klub 570 ,"Klub 570 matchbook, Salt Lake City, Utah [1]",Radio,Microphone,Utah's Superior Signal 24 Hrs Every Day,Green with black text,Advertising; Graphic arts; Radio,,Salt Lake City,Salt Lake County,Utah,United States,40.7607793,-111.8910474,Harold Stanley Sanders Matchbooks Collection,http://rightsstatements.org/vocab/NKC/1.0/
